@relation chunk

@attribute pos_1 {#, $, "''", (, ), ",", ., :, CC, CD, DT, EX, FW, IN, JJ, JJR, JJS, MD, NN, NNP, NNPS, NNS, PDT, POS, PRP, PRP$, RB, RBR, RBS, RP, SYM, TO, UH, VB, VBD, VBG, VBN, VBP, VBZ, WDT, WP, WP$, WRB, ``}
@attribute pos {#, $, "''", (, ), ",", ., :, CC, CD, DT, EX, FW, IN, JJ, JJR, JJS, MD, NN, NNP, NNPS, NNS, PDT, POS, PRP, PRP$, RB, RBR, RBS, RP, SYM, TO, UH, VB, VBD, VBG, VBN, VBP, VBZ, WDT, WP, WP$, WRB, ``}
@attribute pos1 {#, $, "''", (, ), ",", ., :, CC, CD, DT, EX, FW, IN, JJ, JJR, JJS, MD, NN, NNP, NNPS, NNS, PDT, POS, PRP, PRP$, RB, RBR, RBS, RP, SYM, TO, UH, VB, VBD, VBG, VBN, VBP, VBZ, WDT, WP, WP$, WRB, ``}
@attribute chunk {B-ADJP, B-ADVP, B-CONJP, B-INTJ, B-LST, B-NP, B-PP, B-PRT, B-SBAR, B-UCP, B-VP, I-ADJP, I-ADVP, I-CONJP, I-INTJ, I-NP, I-PP, I-PRT, I-SBAR, I-UCP, I-VP, O}

@data
",", EX, MD, B-NP
EX, MD, VB, B-VP
MD, VB, DT, I-VP
VB, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, NN, B-PP
IN, NN, ",", B-NP
NN, ",", "''", O
",", "''", VBD, O
"''", VBD, NNP, B-VP
VBD, NNP, NNP, B-NP
NNP, NNP, ",", I-NP
NNP, ",", NNP, O
",", NNP, NN, B-NP
NNP, NN, IN, I-NP
NN, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, ",", I-NP
NNP, ",", DT, O
",", DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, ., I-NP
NNP, ., NNS, O
., NNS, IN, B-NP
NNS, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, NNS, I-NP
NN, NNS, VBP, I-NP
NNS, VBP, RB, B-VP
VBP, RB, ",", B-ADVP
RB, ",", CC, O
",", CC, JJ, O
CC, JJ, NNS, B-NP
JJ, NNS, VBP, I-NP
NNS, VBP, DT, B-VP
VBP, DT, NNS, B-NP
DT, NNS, TO, I-NP
NNS, TO, VB, B-VP
TO, VB, DT, I-VP
VB, DT, RB, B-NP
DT, RB, VBN, I-NP
RB, VBN, NN, I-NP
VBN, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, #, O
DT, #, CD, O
#, CD, CD, O
CD, CD, (, O
CD, (, $, O
(, $, CD, B-ADJP
$, CD, CD, O
CD, CD, ), O
CD, ), NN, O
), NN, IN, B-NP
NN, IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, VBD, I-NP
NN, VBD, IN, B-VP
VBD, IN, NNP, B-PP
IN, NNP, ., B-NP
NNP, ., DT, O
., DT, NNP, B-NP
DT, NNP, NN, I-NP
NNP, NN, CC, I-NP
NN, CC, DT, O
CC, DT, #, B-NP
DT, #, CD, I-NP
#, CD, CD, I-NP
CD, CD, NN, I-NP
CD, NN, VBN, I-NP
NN, VBN, IN, B-VP
VBN, IN, NNP, B-PP
IN, NNP, VBP, B-NP
NNP, VBP, VBN, B-VP
VBP, VBN, RB, I-VP
VBN, RB, IN, B-ADVP
RB, IN, DT, B-PP
IN, DT, #, B-NP
DT, #, CD, I-NP
#, CD, CD, I-NP
CD, CD, NN, I-NP
CD, NN, IN, I-NP
NN, IN, NNP, B-PP
IN, NNP, CD, B-NP
NNP, CD, ., I-NP
CD, ., NNP, O
., NNP, NNP, B-NP
NNP, NNP, ",", I-NP
NNP, ",", JJ, O
",", JJ, NN, B-NP
JJ, NN, IN, I-NP
NN, IN, NNP, B-PP
IN, NNP, NNPS, B-NP
NNP, NNPS, CC, I-NP
NNPS, CC, NNP, I-NP
CC, NNP, ",", I-NP
NNP, ",", VBD, O
",", VBD, EX, B-VP
VBD, EX, VBZ, B-NP
EX, VBZ, DT, B-VP
VBZ, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, NNP, B-SBAR
IN, NNP, POS, B-NP
NNP, POS, NN, B-NP
POS, NN, NN, I-NP
NN, NN, VBZ, I-NP
NN, VBZ, VBG, B-VP
VBZ, VBG, PRP, I-VP
VBG, PRP, TO, B-NP
PRP, TO, VB, B-VP
TO, VB, NNS, I-VP
VB, NNS, ., B-NP
NNS, ., IN, O
., IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, ",", I-NP
NN, ",", PRP, O
",", PRP, VBZ, B-NP
PRP, VBZ, RB, B-VP
VBZ, RB, JJ, B-ADJP
RB, JJ, IN, I-ADJP
JJ, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, NNS, B-PP
IN, NNS, ",", B-NP
NNS, ",", VBN, O
",", VBN, VBD, B-PP
VBN, VBD, JJ, B-NP
VBD, JJ, NN, I-NP
JJ, NN, CC, I-NP
NN, CC, NN, I-NP
CC, NN, NNS, I-NP
NN, NNS, NNS, I-NP
NNS, NNS, ., I-NP
NNS, ., PRP, O
., PRP, VBZ, B-NP
PRP, VBZ, DT, B-VP
VBZ, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, NN, I-NP
NN, NN, MD, I-NP
NN, MD, VB, B-VP
MD, VB, TO, I-VP
VB, TO, RB, B-PP
TO, RB, #, B-NP
RB, #, CD, I-NP
#, CD, CD, I-NP
CD, CD, IN, I-NP
CD, IN, NNP, B-PP
IN, NNP, ., B-NP
NNP, ., RB, O
., RB, ",", B-ADVP
RB, ",", NNP, O
",", NNP, NNP, B-NP
NNP, NNP, VBD, I-NP
NNP, VBD, PRP, B-VP
VBD, PRP, VBZ, B-NP
PRP, VBZ, IN, B-VP
VBZ, IN, DT, B-SBAR
IN, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, JJ, B-PP
IN, JJ, NN, B-NP
JJ, NN, VBG, I-NP
NN, VBG, IN, I-NP
VBG, IN, NN, B-PP
IN, NN, MD, B-NP
NN, MD, VB, B-VP
MD, VB, TO, I-VP
VB, TO, DT, B-PP
TO, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, NNS, B-PP
IN, NNS, ., B-NP
NNS, ., VBN, O
., VBN, IN, B-PP
VBN, IN, IN, B-PP
IN, IN, JJS, B-ADVP
IN, JJS, DT, I-ADVP
JJS, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, NNS, B-PP
IN, NNS, IN, B-NP
NNS, IN, NNP, B-PP
IN, NNP, POS, B-NP
NNP, POS, JJ, B-NP
POS, JJ, NN, I-NP
JJ, NN, ",", I-NP
NN, ",", DT, O
",", DT, NN, B-NP
DT, NN, MD, I-NP
NN, MD, VB, B-VP
MD, VB, TO, I-VP
VB, TO, RB, B-PP
TO, RB, JJ, B-NP
RB, JJ, IN, I-NP
JJ, IN, #, I-NP
IN, #, CD, I-NP
#, CD, CD, I-NP
CD, CD, ., I-NP
CD, ., NNP, O
., NNP, NNP, B-NP
NNP, NNP, ",", I-NP
NNP, ",", WP, O
",", WP, RB, B-NP
WP, RB, VBZ, B-ADVP
RB, VBZ, DT, B-VP
VBZ, DT, #, B-NP
DT, #, CD, I-NP
#, CD, CD, I-NP
CD, CD, JJ, I-NP
CD, JJ, NN, I-NP
JJ, NN, NN, I-NP
NN, NN, ",", I-NP
NN, ",", VBZ, O
",", VBZ, IN, B-VP
VBZ, IN, RB, B-SBAR
IN, RB, IN, B-SBAR
RB, IN, DT, I-SBAR
IN, DT, NN, B-NP
DT, NN, NNS, I-NP
NN, NNS, VBP, I-NP
NNS, VBP, JJ, B-VP
VBP, JJ, IN, B-ADJP
JJ, IN, NN, B-PP
IN, NN, ",", B-NP
NN, ",", DT, O
",", DT, NN, B-NP
DT, NN, MD, I-NP
NN, MD, RB, B-VP
MD, RB, VB, I-VP
RB, VB, JJ, I-VP
VB, JJ, IN, B-NP
JJ, IN, NNS, B-SBAR
IN, NNS, MD, B-NP
NNS, MD, VB, B-VP
MD, VB, TO, I-VP
VB, TO, VB, I-VP
TO, VB, JJ, I-VP
VB, JJ, NN, B-NP
JJ, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, VBG, B-PP
IN, VBG, NNS, B-VP
VBG, NNS, ., B-NP
NNS, ., RB, O
., RB, ",", B-ADVP
RB, ",", PRP, O
",", PRP, VBD, B-NP
PRP, VBD, ",", B-VP
VBD, ",", ``, O
",", ``, DT, O
``, DT, PRP, B-NP
DT, PRP, MD, I-NP
PRP, MD, VB, B-VP
MD, VB, TO, I-VP
VB, TO, VB, I-VP
TO, VB, IN, I-VP
VB, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, NNS, I-NP
NN, NNS, IN, I-NP
NNS, IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, "''", I-NP
NN, "''", IN, O
"''", IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, ., I-NP
NN, ., RB, O
., RB, ",", B-ADVP
RB, ",", JJ, O
",", JJ, NN, B-NP
JJ, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, VBZ, I-NP
NN, VBZ, RB, B-VP
VBZ, RB, VBN, B-ADJP
RB, VBN, ., I-ADJP
VBN, ., IN, O
., IN, PRP$, B-PP
IN, PRP$, NNP, B-NP
PRP$, NNP, NNP, I-NP
NNP, NNP, NN, I-NP
NNP, NN, ",", I-NP
NN, ",", NNP, O
",", NNP, NNP, B-NP
NNP, NNP, VBD, I-NP
NNP, VBD, IN, B-VP
VBD, IN, DT, B-SBAR
IN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, MD, I-NP
NN, MD, VB, B-VP
MD, VB, VBN, I-VP
VB, VBN, IN, I-VP
VBN, IN, DT, B-SBAR
IN, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, NN, B-PP
IN, NN, NNS, B-NP
NN, NNS, RBR, I-NP
NNS, RBR, DT, B-NP
RBR, DT, NN, I-NP
DT, NN, VBZ, I-NP
NN, VBZ, NN, B-VP
VBZ, NN, ., B-NP
NN, ., JJ, O
., JJ, NN, B-NP
JJ, NN, NNS, I-NP
NN, NNS, VBP, I-NP
NNS, VBP, IN, B-VP
VBP, IN, PRP$, B-PP
IN, PRP$, JJS, B-NP
PRP$, JJS, NN, I-NP
JJS, NN, IN, I-NP
NN, IN, CD, B-PP
IN, CD, NNS, B-NP
CD, NNS, ., I-NP
NNS, ., CC, O
., CC, NN, O
CC, NN, NN, B-NP
NN, NN, NNS, I-NP
NN, NNS, VBD, I-NP
NNS, VBD, NNP, B-VP
VBD, NNP, VBP, B-NP
NNP, VBP, RB, B-VP
VBP, RB, VB, I-VP
RB, VB, IN, I-VP
VB, IN, DT, B-SBAR
IN, DT, NNP, B-NP
DT, NNP, NN, I-NP
NNP, NN, VBZ, I-NP
NN, VBZ, VBG, B-VP
VBZ, VBG, DT, I-VP
VBG, DT, RB, B-ADVP
DT, RB, ., I-ADVP
RB, ., DT, O
., DT, NNS, B-NP
DT, NNS, VBP, I-NP
NNS, VBP, DT, B-VP
VBP, DT, NN, O
DT, NN, VBD, B-NP
NN, VBD, CD, B-VP
VBD, CD, NN, B-NP
CD, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, CC, I-NP
NN, CC, VBD, O
CC, VBD, IN, B-VP
VBD, IN, CD, B-ADVP
IN, CD, NN, B-NP
CD, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, RB, I-NP
NN, RB, ., B-ADVP
RB, ., DT, O
., DT, VBZ, B-NP
DT, VBZ, IN, B-VP
VBZ, IN, DT, B-PP
IN, DT, CD, B-NP
DT, CD, NN, I-NP
CD, NN, NN, I-NP
NN, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, CC, I-NP
NN, CC, DT, O
CC, DT, CD, B-NP
DT, CD, NN, I-NP
CD, NN, NN, I-NP
NN, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, CD, B-PP
IN, CD, ., B-NP
CD, ., NNP, O
., NNP, NNP, B-NP
NNP, NNP, VBD, I-NP
NNP, VBD, DT, B-VP
VBD, DT, NNS, B-NP
DT, NNS, VBP, I-NP
NNS, VBP, DT, B-VP
VBP, DT, NN, B-NP
DT, NN, ``, I-NP
NN, ``, VBZ, O
``, VBZ, RB, B-VP
VBZ, RB, RB, B-ADVP
RB, RB, JJ, B-ADJP
RB, JJ, ",", I-ADJP
JJ, ",", "''", O
",", "''", CC, O
"''", CC, NNS, O
CC, NNS, IN, B-NP
NNS, IN, NN, B-SBAR
IN, NN, IN, B-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, VBD, I-NP
NN, VBD, IN, B-VP
VBD, IN, NNS, B-PP
IN, NNS, RB, B-NP
NNS, RB, IN, B-PP
RB, IN, NN, I-PP
IN, NN, NNS, B-NP
NN, NNS, MD, I-NP
NNS, MD, VB, B-VP
MD, VB, NNS, I-VP
VB, NNS, IN, B-NP
NNS, IN, JJR, B-PP
IN, JJR, NN, B-NP
JJR, NN, NNS, I-NP
NN, NNS, ., I-NP
NNS, ., RB, O
., RB, ",", B-ADVP
RB, ",", DT, O
",", DT, NN, B-NP
DT, NN, VBZ, I-NP
NN, VBZ, VBN, B-VP
VBZ, VBN, PRP, I-VP
VBN, PRP, JJ, B-NP
PRP, JJ, IN, B-ADJP
JJ, IN, PRP, B-SBAR
IN, PRP, VBZ, B-NP
PRP, VBZ, VBN, B-VP
VBZ, VBN, TO, I-VP
VBN, TO, VB, I-VP
TO, VB, NN, I-VP
VB, NN, NNS, B-NP
NN, NNS, RB, I-NP
NNS, RB, IN, B-ADVP
RB, IN, JJ, B-SBAR
IN, JJ, TO, B-ADJP
JJ, TO, DT, B-VP
TO, DT, VB, I-VP
DT, VB, IN, I-VP
VB, IN, DT, B-SBAR
IN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, VBZ, I-NP
NN, VBZ, VB, B-VP
VBZ, VB, NN, I-VP
VB, NN, CC, B-NP
NN, CC, DT, O
CC, DT, NN, O
DT, NN, VBZ, B-NP
NN, VBZ, RB, B-VP
VBZ, RB, VB, I-VP
RB, VB, JJ, I-VP
VB, JJ, ., B-ADVP
JJ, ., NNP, O
., NNP, ",", B-NP
NNP, ",", PRP, O
",", PRP, VBD, B-NP
PRP, VBD, PRP$, B-VP
VBD, PRP$, NN, B-NP
PRP$, NN, IN, I-NP
NN, IN, DT, B-SBAR
IN, DT, NN, B-NP
DT, NN, ``, I-NP
NN, ``, MD, O
``, MD, RB, B-VP
MD, RB, VB, I-VP
RB, VB, DT, I-VP
VB, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, JJ, B-PP
IN, JJ, NN, B-NP
JJ, NN, TO, I-NP
NN, TO, VB, B-VP
TO, VB, VBN, I-VP
VB, VBN, IN, I-VP
VBN, IN, NN, B-PP
IN, NN, NN, B-NP
NN, NN, NN, I-NP
NN, NN, ., I-NP
NN, ., "''", O
., "''", NNS, O
"''", NNS, VBP, B-NP
NNS, VBP, EX, B-VP
VBP, EX, VBZ, B-NP
EX, VBZ, JJ, B-VP
VBZ, JJ, NN, B-NP
JJ, NN, NN, B-VP
NN, NN, NN, B-NP
NN, NN, IN, B-ADJP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, JJ, I-NP
NN, JJ, IN, B-ADJP
JJ, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, POS, I-NP
NNP, POS, NN, B-NP
POS, NN, IN, I-NP
NN, IN, NNS, B-SBAR
IN, NNS, MD, B-NP
NNS, MD, VB, B-VP
MD, VB, VBN, I-VP
VB, VBN, JJR, I-VP
VBN, JJR, IN, B-ADJP
JJR, IN, JJ, B-SBAR
IN, JJ, ., B-ADJP
JJ, ., CC, O
., CC, ",", O
CC, ",", PRP, O
",", PRP, VBP, B-NP
PRP, VBP, ",", B-VP
VBP, ",", DT, O
",", DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, POS, I-NP
NN, POS, NN, B-NP
POS, NN, MD, I-NP
NN, MD, RB, B-VP
MD, RB, VB, I-VP
RB, VB, DT, I-VP
VB, DT, NN, B-NP
DT, NN, NN, I-NP
NN, NN, JJ, B-VP
NN, JJ, ., B-ADJP
JJ, ., NNP, O
., NNP, VBD, B-NP
NNP, VBD, RB, B-VP
VBD, RB, VBG, I-VP
RB, VBG, DT, I-VP
VBG, DT, NNS, B-NP
DT, NNS, IN, I-NP
NNS, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, NN, B-PP
IN, NN, IN, B-NP
NN, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, POS, I-NP
NNP, POS, NN, B-NP
POS, NN, NNP, I-NP
NN, NNP, ., B-NP
NNP, ., IN, O
., IN, JJ, B-PP
IN, JJ, NN, B-NP
JJ, NN, PRP, I-NP
NN, PRP, VBD, B-NP
PRP, VBD, TO, B-VP
VBD, TO, $, B-PP
TO, $, CD, B-NP
$, CD, CC, I-NP
CD, CC, CD, O
CC, CD, NNS, B-NP
CD, NNS, IN, I-NP
NNS, IN, $, B-PP
IN, $, CD, B-NP
$, CD, CC, I-NP
CD, CC, CD, O
CC, CD, NNS, B-NP
CD, NNS, JJ, I-NP
NNS, JJ, NNP, B-NP
JJ, NNP, ., I-NP
NNP, ., NNS, O
., NNS, VBD, B-NP
NNS, VBD, IN, B-VP
VBD, IN, IN, B-SBAR
IN, IN, DT, B-SBAR
IN, DT, NN, B-NP
DT, NN, VBZ, I-NP
NN, VBZ, JJ, B-VP
VBZ, JJ, IN, B-NP
JJ, IN, CD, B-PP
IN, CD, NNS, B-NP
CD, NNS, ",", I-NP
NNS, ",", DT, O
",", DT, NN, B-NP
DT, NN, MD, I-NP
NN, MD, VB, B-VP
MD, VB, VBN, I-VP
VB, VBN, TO, I-VP
VBN, TO, VB, I-VP
TO, VB, NNS, I-VP
VB, NNS, TO, B-NP
NNS, TO, CD, B-PP
TO, CD, NN, B-NP
CD, NN, ",", I-NP
NN, ",", DT, O
",", DT, TO, B-VP
DT, TO, VB, I-VP
TO, VB, DT, B-VP
VB, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, CC, I-NP
NN, CC, VB, O
CC, VB, IN, B-VP
VB, IN, DT, B-SBAR
IN, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, JJ, B-PP
IN, JJ, NN, B-NP
JJ, NN, VBZ, I-NP
NN, VBZ, JJ, B-VP
VBZ, JJ, ., B-ADJP
JJ, ., NNP, O
., NNP, POS, B-NP
NNP, POS, NNP, B-NP
POS, NNP, NN, I-NP
NNP, NN, DT, I-NP
NN, DT, NN, B-NP
DT, NN, VBD, I-NP
NN, VBD, NNS, B-VP
VBD, NNS, IN, B-NP
NNS, IN, JJ, B-PP
IN, JJ, NN, B-NP
JJ, NN, IN, I-NP
NN, IN, NNS, B-SBAR
IN, NNS, IN, B-NP
NNS, IN, NNS, B-PP
IN, NNS, VBN, B-NP
NNS, VBN, ., B-VP
VBN, ., JJ, O
., JJ, NN, B-NP
JJ, NN, NNS, I-NP
NN, NNS, VBD, I-NP
NNS, VBD, IN, B-VP
VBD, IN, DT, B-SBAR
IN, DT, NN, B-NP
DT, NN, NN, I-NP
NN, NN, VBZ, I-NP
NN, VBZ, VBN, B-VP
VBZ, VBN, TO, I-VP
VBN, TO, VB, I-VP
TO, VB, PRP, I-VP
VB, PRP, IN, B-NP
PRP, IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, NN, I-NP
NN, NN, ",", I-NP
NN, ",", WDT, O
",", WDT, VBZ, B-NP
WDT, VBZ, VBN, B-VP
VBZ, VBN, DT, I-VP
VBN, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, NNP, B-PP
IN, NNP, CD, B-NP
NNP, CD, ",", I-NP
CD, ",", WRB, O
",", WRB, DT, B-ADVP
WRB, DT, NNP, B-NP
DT, NNP, NNP, I-NP
NNP, NNP, NNP, I-NP
NNP, NNP, NNP, I-NP
NNP, NNP, VBD, I-NP
NNP, VBD, JJR, B-VP
VBD, JJR, IN, B-NP
JJR, IN, CD, I-NP
IN, CD, NNS, I-NP
CD, NNS, ., I-NP
NNS, ., NN, O
., NN, NNS, B-NP
NN, NNS, VBP, I-NP
NNS, VBP, IN, B-VP
VBP, IN, IN, B-SBAR
IN, IN, DT, B-PP
IN, DT, VBG, B-NP
DT, VBG, NN, I-NP
VBG, NN, DT, I-NP
